"UWI" "TVD_GBI" "TVD" "TVD_diff"
"99" 30043211790000 5604.46 5570.42 -34.04
"100" 30043211820000 5429.77 5403.28 -26.4900000000007
"101" 30043211830000 5620.96 5600.83 -20.1300000000001
"102" 30043211880000 5482.21 5411.02 -71.1899999999996
"103" 30043211890000 5494.13 5447.6 -46.5299999999997
"104" 30043211900000 5614.01 5491.61 -122.400000000001
"105" 30043211910000 5600.06 5474.3 -125.76
"106" 30043211930000 5391.55 5288.47 -103.08
"107" 30043211940000 5683.59 5603.99 -79.6000000000004
"108" 30043211950000 5057.25 5019.61 -37.6400000000003
"109" 30043211960000 5035.82 4998.11 -37.71
"110" 30043211970000 5074.79 4984.64 -90.1499999999996
"111" 30043211980000 5016.02 4973.35 -42.6700000000001
"112" 30043212020000 5439.93 5400.94 -38.9900000000007
"113" 30043212040100 5532.41 5487.83 -44.5799999999999
"114" 30043212050000 5430.83 5412.08 -18.75
"115" 30043212060000 5460.36 5418.32 -42.04
"116" 30043212070000 5361.36 5335.47 -25.8899999999994
"117" 30043212080000 5460.53 5440.29 -20.2399999999998
"118" 30043212090000 5390.23 5373.62 -16.6099999999997
"119" 30043212190000 5423.9 5389.54 -34.3599999999997
"120" 30043212200000 5441.76 5392.84 -48.9200000000001
"121" 30043212210000 5437.1 5371.33 -65.7700000000004
"122" 30043212260000 5458.48 5410.46 -48.0199999999995
"123" 30043212270000 5436.75 5384.86 -51.8900000000003
"124" 30043212330000 5586.63 5568.06 -18.5699999999997
"125" 30043212410000 5317.29 5328.11 10.8199999999997
"126" 30043212430000 5297.08 5332.85 35.7700000000004
"127" 30043212440000 5383.28 5371.04 -12.2399999999998
"128" 30043212470000 5379 5343.92 -35.0799999999999
"129" 30043212750000 5351.6 5361.33 9.72999999999956
"130" 30045207390100 5665.42 5714.85 49.4300000000003
"131" 30045281940000 4765.65 4782.53 16.8800000000001
"132" 30045285700000 5534.38 5544.01 9.63000000000011
"133" 30045295790000 5546.6 5568.29 21.6899999999996
"134" 30045352420100 5402.45 5267.01 -135.44
"135" 30045353130100 5321.38 5306.41 -14.9700000000003
"136" 30045353150000 4499.34 4470.42 -28.9200000000001
"137" 30045353190100 4565.71 4552.32 -13.3900000000003
"138" 30045353220000 5483.7 5445.49 -38.21
"139" 30045353280100 4790.95 4729.73 -61.2200000000003
"140" 30045353410100 5594.4 5584.8 -9.59999999999945
"141" 30045353610000 4687.94 4688.59 0.650000000000546
"142" 30045353620100 5477.52 5443.67 -33.8500000000004
"143" 30045353650000 5460.22 5445.79 -14.4300000000003
"144" 30045353670000 4655.39 4654.62 -0.770000000000437
"145" 30045353700000 5976.81 6015.5 38.6899999999996
"146" 30045353870000 5131.46 5067.6 -63.8599999999997
"147" 30045353900000 5054.58 5036.53 -18.0500000000002
"148" 30045353910000 4988.76 4978.58 -10.1800000000003
"149" 30045354190000 4705.3 4645.89 -59.4099999999999
"150" 30045354320000 5531.48 5502.1 -29.3799999999992
"151" 30045354340000 5518.3 5490.46 -27.8400000000001
"152" 30045354350000 5535.74 5528.62 -7.11999999999989
"153" 30045354390100 5123.03 4991.8 -131.23
"154" 30045354400000 5233.19 5088.08 -145.11
"155" 30045354410100 5543.66 5439.9 -103.76
"156" 30045354420100 5347.49 5309.26 -38.2299999999996
"157" 30045354490000 4772.01 4688.26 -83.75
"158" 30045354500000 4788.35 4708.6 -79.75
"159" 30045354510000 5406.3 5362.32 -43.9800000000005
"160" 30045354520000 6125.83 6008.56 -117.27
"161" 30045354670000 5414.78 5337.89 -76.8899999999994
"162" 30045354740000 5576.52 5507.48 -69.0400000000009
"163" 30045354760000 4812.08 4801.01 -11.0699999999997
"164" 30045354780000 5395.72 5329.25 -66.4700000000003
"165" 30045354790000 5416.29 5304.62 -111.67
