"UWI" "MD" "TVD" "EWOFFSET" "NSOFFSET" "DIP" "AZM" "TVDSS" "XPATH" "YPATH" "SURNAME" "SURSTAT" "Borehole.Direction"
"206" 30045355640000 10753 5407.39 6086.32 -923.52 89.96 102.17 1617.61 561590.26 1908626.43 "Actual" "Active" "down"
"207" 30045355830000 10350 5046.47 -5462.85 -791.76 92 268.9 1825.53 509345.11 1918430.59 "Actual" "Active" "up"
"208" 30045355870000 10525 5275.39 -4839.82 -245.07 91.08 274.65 1614.61 540957.15 1910983.84 "Actual" "Active" "up"
"209" 30045355880000 10664 5329.23 -5919.13 1585.92 92.65 279.34 1576.77 540838.55 1914853.78 "Actual" "Active" "up"
"210" 30045356010000 13485 5493.31 6198.38 -3661.24 93.63 126.79 1540.69 547161.14 1915490.41 "Actual" "Active" "up"
"211" 30045356020000 10878 5531.11 4082.2 -3678.79 90.22 124.26 1502.89 545028.97 1915458.82 "Actual" "Active" "up"
"212" 30045356050000 13156 5570.05 7206.79 -2892.9 89.66 120.12 1463.95 548186.54 1916272.75 "Actual" "Active" "down"
"213" 30045356060000 14155 5346.29 7189.15 -3666.34 89.66 122 1687.71 548185.89 1915513.35 "Actual" "Active" "down"
"214" 30045356070000 10395 5210.07 -5415.14 -272.47 92.59 266.63 1682.93 535633.77 1912056.67 "Actual" "Active" "up"
"215" 30045356080000 10455 5229.65 -5468.5 649.12 90.81 267.47 1663.35 535602.41 1912978.29 "Actual" "Active" "up"
"216" 30045356150000 10685 5448.08 -5775.71 -809.04 90.92 269.6 1643.92 535571.5 1913872.58 "Actual" "Active" "up"
"217" 30045356160000 10615 5450.42 -5836.49 102.55 91.01 267.85 1641.58 535532.59 1914788.16 "Actual" "Active" "up"
"218" 30045356220000 13418 5468.36 -7875.13 -310.47 91.35 273.51 1449.64 551409.92 1915607.9 "Actual" "Active" "up"
"219" 30045356230000 13741 5469.63 -7872.07 866.13 92.05 273.99 1448.37 551394.94 1916796.44 "Actual" "Active" "up"
"220" 30045356250000 11187 5484.09 -6664.73 -228.43 92.12 271.39 1401.91 551326.36 1918337.95 "Actual" "Active" "up"
"221" 30045356270000 10554 5190.45 -5424.55 -1207.4 91.3 268.25 1702.55 535668.35 1911121.8 "Actual" "Active" "up"
"222" 30045356390000 10395 5239.27 -4634.62 362.05 92.32 277.34 1673.73 530445.16 1912254.93 "Actual" "Active" "up"
"223" 30045356410000 11555 6197.97 -4462.47 -943.08 90.78 274.44 1137.03 551122.22 1941780.11 "Actual" "Active" "up"
"224" 30045356420000 11590 6112.87 -4501.24 783.6 93.12 271.16 1222.13 551085.04 1943555.79 "Actual" "Active" "up"
"225" 30045356430000 10437 5160.23 -4698.2 658.05 91.28 270.23 1685.77 535713.76 1910221.87 "Actual" "Active" "up"
"226" 30045356460000 10310 5349.52 -4869.08 -204.77 91.28 268.45 1579.28 546175.14 1912914.3 "Actual" "Active" "up"
"227" 30045356470000 10768 5379.8 -4896.8 1608.24 93.39 267.75 1547.7 546147.72 1914771.32 "Actual" "Active" "up"
