"UWI" "MD" "TVD" "EWOFFSET" "NSOFFSET" "DIP" "AZM" "TVDSS" "XPATH" "YPATH" "SURNAME" "SURSTAT" "Borehole.Direction"
"48" 30039312810000 10378 5516.93 4702.02 -130 88.65 95.44 1315.07 603003.46 1905260.75 "Actual" "Active" "down"
"49" 30039312870000 11427 5542.14 4740.14 -604.28 88.66 106.79 1301.86 603044.33 1909861.46 "Actual" "Active" "down"
"50" 30039312880000 11293 5448.98 -5634.88 2315.52 89.66 279.59 1437.02 598222.12 1902370.43 "Actual" "Active" "down"
"51" 30039312890100 11587 5494.77 -5759.69 1661.04 90.77 286.94 1350.23 592535.87 1912107.02 "Actual" "Active" "up"
"52" 30039312900000 10264 5521.22 -4626.77 2254.66 90.4 289.68 1323.78 593686.01 1912741.21 "Actual" "Active" "up"
"53" 30039312910100 10871 5530.17 4754.56 -1702.18 89.25 100.06 1313.83 603040.48 1908724 "Actual" "Active" "down"
"54" 30039312920000 10999 5458.47 -5589.62 1198.76 90.57 281.57 1427.53 598277.55 1901232.3 "Actual" "Active" "up"
"55" 30039312930000 10878 5426.93 -5554.64 -601.36 89.6 272.19 1459.07 598331.9 1899393.41 "Actual" "Active" "down"
"56" 30039312940000 11414 5442.61 4732.34 89.73 88.79 100.96 1443.39 608579.1 1900161.96 "Actual" "Active" "down"
"57" 30039312980000 12225 5412.43 4665.9 -3632.03 89.76 133.67 1494.57 602917.65 1908173.01 "Actual" "Active" "down"
"58" 30039312990000 12720 5405.46 4630.01 -5145.29 89.87 134.49 1501.54 602882.37 1906681.78 "Actual" "Active" "down"
"59" 30039313110000 11325 5483.71 -4559.13 1909.57 89.66 307.28 1347.29 582776.68 1918099.59 "Actual" "Active" "down"
"60" 30039313120000 11785 5338.19 -4108.48 3427.62 88.42 315.7 1478.81 583249.32 1919617.81 "Actual" "Active" "down"
"61" 30039313370000 13370 5710.15 -7115.35 1313.82 89.5 272.02 1621.85 556925.05 1906899.99 "Actual" "Active" "down"
"62" 30039313400000 13265 5685.19 -7149.45 169.74 90.34 276.39 1646.81 556927.96 1905741.17 "Actual" "Active" "up"
"63" 30043211170100 9985 5559.58 -4601.74 -66.31 91.6 272.2 1719.42 588433.25 1886893.53 "Actual" "Active" "up"
"64" 30043211180100 9900 5615.23 -4529.93 153.79 91.4 274.1 1631.77 583091.23 1891608.77 "Actual" "Active" "up"
"65" 30043211220100 9575 5372.99 -4403.31 342.08 90.6 271.6 1574.01 619900.43 1880845.84 "Actual" "Active" "up"
"66" 30043211230000 9870 5397.03 -4759.05 166.57 91.7 269.3 1667.97 609402.26 1880808.64 "Actual" "Active" "up"
"67" 30043211240100 9630 5361.08 -4441.54 -278.78 91 269.5 1832.92 619663.41 1862260.93 "Actual" "Active" "up"
"68" 30043211250000 10204 5433.53 -4532.77 -809.64 90.9 271.4 1682.47 598925.92 1883625.21 "Actual" "Active" "up"
"69" 30043211260000 12575 5552.45 -7267.68 151.9 91.6 268.6 1643.55 596278.51 1886694.79 "Actual" "Active" "up"
"70" 30043211270000 12610 5575.73 -7297.05 152.08 90.8 269.2 1640.27 596265.21 1887923.37 "Actual" "Active" "up"
"71" 30043211290000 10060 5450.4 -4592.21 762.7 91.1 267.7 1650.6 598936.37 1885205.23 "Actual" "Active" "up"
"72" 30043211300100 9565 5334.7 -4456.47 107.16 91 273 1663.3 609417.54 1882252.25 "Actual" "Active" "up"
"73" 30043211310100 10350 5311.01 -5083.72 614.95 91.6 270.4 1888.99 603966.24 1866500.18 "Actual" "Active" "up"
"74" 30043211330000 9640 5255.04 -4523.94 447 90.3 270.5 1990.96 583096.72 1891931.98 "Actual" "Active" "up"
"75" 30043211330100 9830 5413.73 -4528.61 755.79 90 271.2 1835.27 583092.05 1892240.77 "Actual" "Active" "down"
"76" 30043211340000 9640 5359.01 -4508.47 -22.8 92.2 270.6 1806.99 588417.38 1878807.21 "Actual" "Active" "up"
"77" 30043211360000 10979 5430.28 -5303.18 956.8 91 284.63 1548.72 588094.46 1897992.04 "Actual" "Active" "up"
"78" 30043211370000 9620 5347.01 -4302.78 554.32 91.8 270.2 1545.99 619955.95 1882255.65 "Actual" "Active" "up"
"79" 30043211390100 10367 5429.55 -5147.98 -775.46 90.66 267.96 1582.45 588299.47 1894124.26 "Actual" "Active" "up"
"80" 30043211410000 11050 5546.63 -5277.1 931.4 91.5 271.4 1546.37 593532.83 1893225.18 "Actual" "Active" "up"
"81" 30043211420000 10645 5526.82 -5265.17 -373.06 92.1 268.6 1566.18 593545.22 1891890.73 "Actual" "Active" "up"
"82" 30043211450000 10835 5444.07 -5315.43 -821.7 90.4 273 1743.93 588453.83 1883735.41 "Actual" "Active" "up"
"83" 30043211460000 10660 5474.16 -5326.94 681.67 91.2 267.6 1714.84 588468 1885255.1 "Actual" "Active" "up"
"84" 30043211470000 9637 5267.68 -4075.84 -105.41 91.1 273.12 1691.32 614632.37 1878015.5 "Actual" "Active" "up"
"85" 30043211480000 10093 5317.29 -4664.42 486.94 90.92 269.46 1844.71 604037.77 1872122.21 "Actual" "Active" "up"
"86" 30043211490000 10219 5344.24 -4656.6 1368.78 91.1 269.62 1619.26 614609.85 1882598.5 "Actual" "Active" "up"
"87" 30043211500100 10101 5562.6 -4778.57 -104.92 91.1 270.3 1507.4 604439.94 1891735.63 "Actual" "Active" "up"
"88" 30043211510000 10065 5582.84 -4644.19 -294.55 90.6 268.1 1562.16 604572.47 1888860.05 "Actual" "Active" "up"
"89" 30043211520000 10455 5588.41 -4790.14 902.94 91.5 269 1478.59 604428.11 1892773.48 "Actual" "Active" "up"
"90" 30043211530000 10670 5594.57 -4747.38 1007.26 91.4 271.2 1550.43 604473 1890191.83 "Actual" "Active" "up"
"91" 30043211610000 10209 5330.22 -4695.05 -957.94 90.13 270.68 1877.78 603927.49 1867540.89 "Actual" "Active" "up"
"92" 30043211670000 10634 5302.52 -4162.94 975.55 91.1 268.59 1669.48 614533.66 1879133.72 "Actual" "Active" "up"
"93" 30043211690000 10520 5331.63 -4668.76 240.17 90.94 269.22 1631.37 614547.5 1881450.57 "Actual" "Active" "up"
"94" 30043211700000 10487 5485.06 -5223.9 41.27 90.84 272.46 1551.94 593382.97 1894099.15 "Actual" "Active" "up"
"95" 30043211750000 10445 5598.72 -35.73 -5137.28 91.9 179.4 1637.28 605028.21 1883489.28 "Actual" "Active" "up"
"96" 30043211760000 13250 5559 -397.66 -7863.09 91.7 181.8 1668 607371.28 1880743.96 "Actual" "Active" "up"
"97" 30043211770000 13400 5573.91 868.71 -7895.98 89.5 178.5 1653.09 608665.55 1880722.72 "Actual" "Active" "down"
"98" 30043211780000 11107 5599.36 -823.33 -5162.51 89.6 180.1 1636.64 604216.23 1883498.36 "Actual" "Active" "down"
"99" 30043211790000 13271 5570.42 5406.82 -5934.76 90.8 136.4 1577.58 614635.68 1883308.78 "Actual" "Active" "up"
"100" 30043211820000 10747 5403.28 -5588.27 87.94 92.5 272.5 1487.72 625009.06 1882425.3 "Actual" "Active" "up"
"101" 30043211830000 10378 5600.83 -4469.22 1239.76 90.7 274.7 1678.17 588410.67 1888151.63 "Actual" "Active" "up"
"102" 30043211880000 10836 5411.02 -5276.02 -330.46 90.87 279.07 1567.98 588121.96 1896726.77 "Actual" "Active" "up"
"103" 30043211890000 10570 5447.6 -5234.71 458.43 90.98 273.76 1564.4 588169.7 1895327.94 "Actual" "Active" "up"
"104" 30043211900000 11239 5491.61 -5700.6 745.28 87.93 269.22 1546.39 592877.67 1896450.67 "Actual" "Active" "down"
"105" 30043211910000 11060 5474.3 -5528.69 -452.07 93.74 268.56 1577.7 593061.95 1895235.09 "Actual" "Active" "up"
"106" 30043211930000 10550 5288.47 -4678.37 -858.72 94.2 270.12 1660.53 614530.69 1880330.79 "Actual" "Active" "up"
"107" 30043211940000 10673 5603.99 787.92 -5179.5 91.1 180.5 1632.01 605857.54 1883475.98 "Actual" "Active" "up"
"108" 30043211950000 10409 5019.61 -5441.59 1352.01 91.2 269 1849.39 567424.59 1888291.32 "Actual" "Active" "up"
"109" 30043211960000 10130 4998.11 -5430.76 68.89 90.8 273 1870.89 567431.65 1886979.22 "Actual" "Active" "up"
"110" 30043211970000 9979 4984.64 -5247.46 727.02 91.5 276.8 1882.36 567436.98 1885670.57 "Actual" "Active" "up"
"111" 30043211980000 9630 4973.35 -4872.22 288.71 90.7 264.8 1918.65 567436.21 1884319.64 "Actual" "Active" "up"
"112" 30043212020000 10766 5400.94 -5539.79 -213.89 92 266.9 1560.06 624953.1 1876718.72 "Actual" "Active" "up"
"113" 30043212040100 10805 5487.83 4765.98 364.86 90.22 89.07 1491.17 598164.28 1897378.12 "Actual" "Active" "up"
"114" 30043212050000 12780 5412.08 5770.16 -5097.37 90 136.3 1541.92 620254.23 1883212.97 "Actual" "Active" "down"
"115" 30043212060000 11950 5418.32 4572.07 -4985.95 91.2 133.7 1583.68 616814.34 1883281.04 "Actual" "Active" "up"
"116" 30043212070000 11846 5335.47 3706.94 -5321.48 91.1 136.3 1552.53 622293.28 1883153.78 "Actual" "Active" "up"
"117" 30043212080000 12640 5440.29 6264.18 -5046.01 90.4 136.1 1561.71 618536.44 1883225.87 "Actual" "Active" "up"
"118" 30043212090000 13102 5373.62 5829.66 -5300.42 92.66 130.01 1516.38 624447.97 1883178.8 "Actual" "Active" "up"
"119" 30043212190000 11221 5389.54 -5614.21 -1536.06 91.5 269.2 1571.46 624929.8 1875405.96 "Actual" "Active" "up"
"120" 30043212200000 13367 5392.84 307.83 -8143.9 89.96 177.32 1747.16 613403.88 1869950.38 "Actual" "Active" "down"
"121" 30043212210000 13375 5371.33 -976.32 -8115.46 91.38 178.22 1768.67 612089.74 1869978.12 "Actual" "Active" "up"
"122" 30043212260000 12348 5410.46 -7217 102.98 90.6 270.5 1725.54 596252.39 1882301.03 "Actual" "Active" "up"
"123" 30043212270000 13108 5384.86 -7243.09 -1195.88 90.4 274.1 1756.14 596242.13 1880951.88 "Actual" "Active" "up"
"124" 30043212330000 9860 5568.06 3077.73 -3422.57 92.4 138.2 1604.94 612073.85 1883366.64 "Actual" "Active" "up"
"125" 30043212410000 10497 5328.11 5143.3 212.94 89.63 98.19 1730.89 593046.53 1882219.87 "Actual" "Active" "down"
"126" 30043212430000 10349 5332.85 5135.25 -975.37 90.31 100.31 1726.15 593038.43 1881009.58 "Actual" "Active" "up"
"127" 30043212440000 10586 5371.04 -4318.56 1353.46 90.04 281.56 1726.96 583087.56 1885577.28 "Actual" "Active" "up"
"128" 30043212470000 10662 5343.92 -4314.63 218.19 88.77 277.25 1754.08 583086.83 1884421.03 "Actual" "Active" "down"
"129" 30043212750000 15391 5361.33 -9301.58 4419.01 88.96 294.78 1700.67 589320.53 1898463.58 "Actual" "Active" "down"
"130" 30045207390100 6545 5714.85 964.2 -249.64 78 110.1 783.15 473912.73 1987926.08 "Actual" "Active" "down"
"131" 30045281940000 6098 4782.53 1723.28 -1105.81 89.3 112.2 1715.47 447262.51 1945836.87 "Actual" "Active" "up"
"132" 30045285700000 7763 5544.01 -2668.04 197.52 87.5 276.27 554.99 468679.25 2011835.64 "Actual" "Active" "down"
